"","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Date","Publisher","Conference.Name","fishy","RC6","RC0","RC7","RC1","RC4","RC2","RC3","RC10","NR","RC11","RC9","RC5"
"1",2016,"Valentini, Alice; Taberlet, Pierre; Miaud, Claude; Civade, Raphaël; Herder, Jelger; Thomsen, Philip Francis; Bellemain, Eva; Besnard, Aurélien; Coissac, Eric; Boyer, Frédéric; Gaboriaud, Coline; Jean, Pauline; Poulet, Nicolas; Roset, Nicolas; Copp, Gordon H.; Geniez, Philippe; Pont, Didier; Argillier, Christine; Baudoin, Jean-Marc; Peroux, Tiphaine; Crivelli, Alain J.; Olivier, Anthony; Acqueberge, Manon; Le Brun, Matthieu; Møller, Peter R.; Willerslev, Eske; Dejean, Tony","Next-generation monitoring of aquatic biodiversity using environmental DNA metabarcoding","Molecular Ecology","","1365-294X","10.1111/mec.13428","2016","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"2",2022,"Keck, François; Blackman, Rosetta C.; Bossart, Raphael; Brantschen, Jeanine; Couton, Marjorie; Hürlemann, Samuel; Kirschner, Dominik; Locher, Nadine; Zhang, Heng; Altermatt, Florian","Meta-analysis shows both congruence and complementarity of DNA and eDNA metabarcoding to traditional methods for biological community assessment","Molecular Ecology","","1365-294X","10.1111/mec.16364","2022","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"3",2022,"Bell, James J.; Micaroni, Valerio; Harris, Benjamin; Strano, Francesca; Broadribb, Manon; Rogers, Alice","Global status, impacts, and management of rocky temperate mesophotic ecosystems","Conservation Biology","","1523-1739","10.1111/cobi.13945","2022","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"4",2019,"Soares, Marcelo de Oliveira; Tavares, Tallita Cruz Lopes; Carneiro, Pedro Bastos de Macêdo","Mesophotic ecosystems: Distribution, impacts and conservation in the South Atlantic","Diversity and Distributions","","1472-4642","10.1111/ddi.12846","2019","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",2019,"Scott, Alexander R.; Pawlik, Joseph R.","A review of the sponge increase hypothesis for Caribbean mesophotic reefs","Marine Biodiversity","","1867-1624","10.1007/s12526-018-0904-7","2019-06-01","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",2017,"Kahng, Sam; Copus, Joshua M.; Wagner, Daniel","Mesophotic Coral Ecosystems","Marine Animal Forests: The Ecology of Benthic Biodiversity Hotspots","978-3-319-17001-5","","","2017","Springer International Publishing","",0,0,1,0,0,0,0,0,0,0,0,0,0
"7",2023,"Muff, Marion; Jaquier, Mélissa; Marques, Virginie; Ballesta, Laurent; Deter, Julie; Bockel, Thomas; Hocdé, Régis; Juhel, Jean-Baptiste; Boulanger, Emilie; Guellati, Nacim; Fernández, Andrea Polanco; Valentini, Alice; Dejean, Tony; Manel, Stéphanie; Albouy, Camille; Durville, Patrick; Mouillot, David; Holon, Florian; Pellissier, Loïc","Environmental DNA highlights fish biodiversity in mesophotic ecosystems","Environmental DNA","","2637-4943","10.1002/edn3.358","2023","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"8",2022,"Castellan, Giorgio; Angeletti, L.; Montagna, P.; Taviani, M.","Drawing the borders of the mesophotic zone of the Mediterranean Sea using satellite data","Scientific Reports","","2045-2322","10.1038/s41598-022-09413-4","2022-04-04","","",0,0,0,0,0,0,1,0,0,0,0,0,0
"9",2018,"Ingrosso, Gianmarco; Abbiati, Marco; Badalamenti, Fabio; Bavestrello, Giorgio; Belmonte, Genuario; Cannas, Rita; Benedetti-Cecchi, Lisandro; Bertolino, Marco; Bevilacqua, Stanislao; Bianchi, Carlo Nike; Bo, Marzia; Boscari, Elisa; Cardone, Frine; Cattaneo-Vietti, Riccardo; Cau, Alessandro; Cerrano, Carlo; Chemello, Renato; Chimienti, Giovanni; Congiu, Leonardo; Corriero, Giuseppe; Costantini, Federica; De Leo, Francesco; Donnarumma, Luigia; Falace, Annalisa; Fraschetti, Simonetta; Giangrande, Adriana; Gravina, Maria Flavia; Guarnieri, Giuseppe; Mastrototaro, Francesco; Milazzo, Marco; Morri, Carla; Musco, Luigi; Pezzolesi, Laura; Piraino, Stefano; Prada, Fiorella; Ponti, Massimo; Rindi, Fabio; Russo, Giovanni Fulvio; Sandulli, Roberto; Villamor, Adriana; Zane, Lorenzo; Boero, Ferdinando","Mediterranean Bioconstructions Along the Italian Coast","Advances in Marine Biology","978-0-12-815101-3","","","2018","Elsevier","",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",2017,"Turner, Joseph A; Babcock, Russell C; Hovey, Renae; Kendrick, Gary A","Deep thinking: a systematic review of mesophotic coral ecosystems","ICES Journal of Marine Science","","1054-3139","10.1093/icesjms/fsx085","2017-12-01","","",0,1,0,0,0,0,0,0,0,0,0,0,0
